*** New Session***
03-11-2021 10:04:57
Product Name: forerunner
232568609 : Rx: [80][FF][FF][FF][50][61][AE][32]
232568859 : Rx: [80][FF][FF][FF][50][61][AE][32]
232569109 : Rx: [80][FF][FF][FF][50][61][AE][32]
232569343 : Rx: [80][FF][FF][FF][1C][66][AF][32]
232569593 : Rx: [00][FF][FF][FF][1C][66][AF][32]
232569843 : Rx: [00][FF][FF][FF][1C][66][AF][32]
232570093 : Rx: [00][FF][FF][FF][1C][66][AF][32]
232570343 : Rx: [00][FF][FF][FF][1C][66][AF][32]
232570578 : Rx: [83][FF][AE][FF][E8][6A][B0][32]
232570828 : Rx: [83][FF][AE][FF][E8][6A][B0][32]
232571078 : Rx: [83][FF][AE][FF][E8][6A][B0][32]
232571328 : Rx: [83][FF][AE][FF][E8][6A][B0][32]
232571562 : Rx: [00][FF][FF][FF][E8][6A][B0][32]
232571812 : Rx: [00][FF][FF][FF][B4][6F][B1][32]
232572062 : Rx: [00][FF][FF][FF][B4][6F][B1][32]
232572312 : Rx: [00][FF][FF][FF][B4][6F][B1][32]
232572546 : Rx: [80][FF][FF][FF][B4][6F][B1][32]
232572796 : Rx: [80][FF][FF][FF][B4][6F][B1][32]
232573046 : Rx fail
232573296 : Rx: [80][FF][FF][FF][80][74][B2][32]
232573531 : Rx: [00][FF][FF][FF][80][74][B2][32]
232573781 : Rx fail
232574031 : Rx: [00][FF][FF][FF][80][74][B2][32]
232574281 : Rx: [00][FF][FF][FF][4C][79][B3][32]
232574515 : Rx fail
232574765 : Rx fail
232575015 : Rx: [80][FF][FF][FF][4C][79][B3][32]
232575265 : Rx fail
232575500 : Rx fail
232575750 : Rx: [00][FF][FF][FF][18][7E][B4][32]
232576000 : Rx: [00][FF][FF][FF][18][7E][B4][32]
232576250 : Rx fail
232576484 : Rx fail
232576734 : Rx: [80][FF][FF][FF][E4][82][B5][32]
232576984 : Rx fail
232577234 : Rx: [80][FF][FF][FF][E4][82][B5][32]
232577484 : Rx: [00][FF][FF][FF][E4][82][B5][32]
232577718 : Rx: [00][FF][FF][FF][98][87][B6][33]
232577968 : Rx: [00][FF][FF][FF][98][87][B6][33]
232578218 : Rx: [00][FF][FF][FF][98][87][B6][33]
232578468 : Rx: [80][FF][FF][FF][98][87][B6][33]
232578703 : Rx: [80][FF][FF][FF][98][87][B6][34]
232578953 : Rx: [80][FF][FF][FF][35][8C][B7][34]
232579203 : Rx: [80][FF][FF][FF][35][8C][B7][34]
232579453 : Rx: [00][FF][FF][FF][35][8C][B7][34]
232579687 : Rx: [00][FF][FF][FF][35][8C][B7][34]
232579937 : Rx: [00][FF][FF][FF][35][8C][B7][34]
232580187 : Rx: [00][FF][FF][FF][D2][90][B8][34]
232580437 : Rx: [80][FF][FF][FF][D2][90][B8][34]
232580671 : Rx: [80][FF][FF][FF][D2][90][B8][35]
232580921 : Rx: [80][FF][FF][FF][D2][90][B8][35]
232581171 : Rx: [80][FF][FF][FF][59][95][B9][35]
232581421 : Rx: [00][FF][FF][FF][59][95][B9][35]
232581656 : Rx: [00][FF][FF][FF][59][95][B9][35]
232581906 : Rx: [00][FF][FF][FF][59][95][B9][35]
232582156 : Rx: [00][FF][FF][FF][59][95][B9][35]
232582406 : Rx: [80][FF][FF][FF][E0][99][BA][35]
232582656 : Rx: [80][FF][FF][FF][E0][99][BA][35]
232582890 : Rx: [80][FF][FF][FF][E0][99][BA][36]
232583140 : Rx: [80][FF][FF][FF][E0][99][BA][36]
232583390 : Rx: [00][FF][FF][FF][51][9E][BB][36]
232583640 : Rx: [00][FF][FF][FF][51][9E][BB][36]
232583875 : Rx: [00][FF][FF][FF][51][9E][BB][36]
232584125 : Rx: [00][FF][FF][FF][51][9E][BB][36]
232584375 : Rx: [80][FF][FF][FF][51][9E][BB][36]
232584625 : Rx: [80][FF][FF][FF][C2][A2][BC][36]
232584859 : Rx: [80][FF][FF][FF][C2][A2][BC][36]
232585109 : Rx: [80][FF][FF][FF][C2][A2][BC][36]
232585359 : Rx: [00][FF][FF][FF][C2][A2][BC][36]
232585609 : Rx: [00][FF][FF][FF][33][A7][BD][36]
232585859 : Rx: [00][FF][FF][FF][33][A7][BD][36]
232586093 : Rx: [00][FF][FF][FF][33][A7][BD][36]
232586343 : Rx: [80][FF][FF][FF][33][A7][BD][36]
232586593 : Rx: [80][FF][FF][FF][33][A7][BD][36]
232586843 : Rx: [80][FF][FF][FF][A4][AB][BE][36]
232587078 : Rx: [80][FF][FF][FF][A4][AB][BE][36]
232587328 : Rx: [09][FD][FF][FF][A4][AB][BE][36]
232587578 : Rx: [09][FD][FF][FF][A4][AB][BE][36]
232587828 : Rx: [09][FD][FF][FF][15][B0][BF][36]
232588062 : Rx: [09][FD][FF][FF][15][B0][BF][36]
232588312 : Rx: [80][FF][FF][FF][15][B0][BF][36]
232588562 : Rx: [80][FF][FF][FF][15][B0][BF][36]
232588812 : Rx: [80][FF][FF][FF][15][B0][BF][36]
232589046 : Rx: [80][FF][FF][FF][86][B4][C0][36]
232589296 : Rx fail
232589546 : Rx: [00][FF][FF][FF][86][B4][C0][36]
232589796 : Rx: [00][FF][FF][FF][86][B4][C0][36]
232590031 : Rx: [00][FF][FF][FF][F7][B8][C1][36]
232590281 : Rx fail
232590531 : Rx: [80][FF][FF][FF][F7][B8][C1][36]
232590781 : Rx: [80][FF][FF][FF][F7][B8][C1][36]
232591015 : Rx: [80][FF][FF][FF][F7][B8][C1][36]
232591265 : Rx: [00][FF][FF][FF][68][BD][C2][36]
232591515 : Rx: [00][FF][FF][FF][68][BD][C2][36]
232591765 : Rx: [00][FF][FF][FF][68][BD][C2][37]
232592015 : Rx: [00][FF][FF][FF][68][BD][C2][37]
232592250 : Rx: [80][FF][FF][FF][C5][C1][C3][37]
232592500 : Rx: [80][FF][FF][FF][C5][C1][C3][37]
232592750 : Rx: [80][FF][FF][FF][C5][C1][C3][38]
232593000 : Rx: [80][FF][FF][FF][C5][C1][C3][38]
232593234 : Rx: [00][FF][FF][FF][C5][C1][C3][38]
232593484 : Rx fail
232593734 : Rx fail
232593984 : Rx: [00][FF][FF][FF][0E][C6][C4][38]
232594218 : Rx: [80][FF][FF][FF][0E][C6][C4][38]
232594468 : Rx: [80][FF][FF][FF][57][CA][C5][38]
232594718 : Rx: [80][FF][FF][FF][57][CA][C5][38]
232594968 : Rx: [80][FF][FF][FF][57][CA][C5][38]
232595203 : Rx fail
232595453 : Rx fail
232595703 : Rx: [00][FF][FF][FF][A0][CE][C6][38]
232595953 : Rx: [00][FF][FF][FF][A0][CE][C6][38]
232596187 : Rx fail
232596437 : Rx fail
232596687 : Rx: [80][FF][FF][FF][E9][D2][C7][38]
232596937 : Rx: [80][FF][FF][FF][E9][D2][C7][37]
232597171 : Rx: [00][FF][FF][FF][E9][D2][C7][37]
232597421 : Rx: [00][FF][FF][FF][E9][D2][C7][37]
232597671 : Rx fail
232597921 : Rx fail
232598171 : Rx: [80][FF][FF][FF][46][D7][C8][37]
232598406 : Rx: [80][FF][FF][FF][46][D7][C8][37]
232598656 : Rx: [80][FF][FF][FF][A3][DB][C9][37]
232598906 : Rx: [80][FF][FF][FF][A3][DB][C9][36]
232599156 : Rx: [00][FF][FF][FF][A3][DB][C9][36]
232599390 : Rx: [00][FF][FF][FF][A3][DB][C9][36]
232599640 : Rx: [00][FF][FF][FF][A3][DB][C9][36]
232599890 : Rx: [00][FF][FF][FF][00][E0][CA][37]
232600140 : Rx: [80][FF][FF][FF][00][E0][CA][37]
232600375 : Rx: [80][FF][FF][FF][00][E0][CA][37]
232600625 : Rx: [80][FF][FF][FF][00][E0][CA][37]
232600875 : Rx: [80][FF][FF][FF][5D][E4][CB][37]
232601125 : Rx: [00][FF][FF][FF][5D][E4][CB][37]
232601359 : Rx: [00][FF][FF][FF][5D][E4][CB][37]
232601609 : Rx: [00][FF][FF][FF][5D][E4][CB][37]
232601859 : Rx: [00][FF][FF][FF][5D][E4][CB][37]
232602109 : Rx: [80][FF][FF][FF][BA][E8][CC][37]
232602343 : Rx: [80][FF][FF][FF][BA][E8][CC][37]
232602593 : Rx: [80][FF][FF][FF][BA][E8][CC][37]
232602843 : Rx: [80][FF][FF][FF][BA][E8][CC][38]
232603093 : Rx: [00][FF][FF][FF][03][ED][CD][38]
232603343 : Rx: [00][FF][FF][FF][03][ED][CD][38]
232603578 : Rx: [00][FF][FF][FF][03][ED][CD][38]
232603828 : Rx: [00][FF][FF][FF][03][ED][CD][3A]
232604078 : Rx: [82][01][94][C8][26][F1][CE][3A]
232604328 : Rx fail
232604562 : Rx: [82][01][94][C8][26][F1][CE][3A]
232604812 : Rx: [82][01][94][C8][26][F1][CE][3C]
232605062 : Rx: [00][FF][FF][FF][26][F5][CF][3C]
232605312 : Rx: [00][FF][FF][FF][26][F5][CF][3C]
232605546 : Rx: [00][FF][FF][FF][26][F5][CF][3C]
232605796 : Rx: [00][FF][FF][FF][26][F5][CF][3C]
232606046 : Rx: [80][FF][FF][FF][26][F9][D0][3C]
232606296 : Rx: [80][FF][FF][FF][26][F9][D0][3C]
232606531 : Rx: [80][FF][FF][FF][26][F9][D0][3C]
232606781 : Rx: [80][FF][FF][FF][26][F9][D0][3D]
232607031 : Rx: [00][FF][FF][FF][15][FD][D1][3D]
232607281 : Rx: [00][FF][FF][FF][15][FD][D1][3D]
232607531 : Rx: [00][FF][FF][FF][15][FD][D1][3D]
232607765 : Rx: [00][FF][FF][FF][15][FD][D1][3D]
232608015 : Rx fail
232608265 : Rx: [80][FF][FF][FF][04][01][D2][3D]
232608515 : Rx: [80][FF][FF][FF][04][01][D2][3D]
232608750 : Rx: [80][FF][FF][FF][04][01][D2][3C]
232609000 : Rx: [00][FF][FF][FF][04][05][D3][3C]
232609250 : Rx: [00][FF][FF][FF][04][05][D3][3C]
232609500 : Rx: [00][FF][FF][FF][04][05][D3][3C]
232609734 : Rx: [00][FF][FF][FF][04][05][D3][3B]
232609984 : Rx: [80][FF][FF][FF][04][05][D3][3B]
232610234 : Rx: [80][FF][FF][FF][15][09][D4][3B]
232610484 : Rx: [80][FF][FF][FF][15][09][D4][3B]
232610718 : Rx: [80][FF][FF][FF][15][09][D4][3B]
232610968 : Rx: [00][FF][FF][FF][15][09][D4][3B]
232611218 : Rx: [00][FF][FF][FF][26][0D][D5][3B]
232611468 : Rx: [00][FF][FF][FF][26][0D][D5][3B]
232611703 : Rx: [00][FF][FF][FF][26][0D][D5][3A]
232611953 : Rx: [80][FF][FF][FF][26][0D][D5][3A]
232612203 : Rx: [80][FF][FF][FF][49][11][D6][3A]
232612453 : Rx: [80][FF][FF][FF][49][11][D6][3A]
232612687 : Rx: [80][FF][FF][FF][49][11][D6][3A]
232612937 : Rx: [00][FF][FF][FF][49][11][D6][3A]
232613187 : Rx: [00][FF][FF][FF][6C][15][D7][3A]
232613437 : Rx fail
232613687 : Rx fail
232613921 : Rx: [80][FF][FF][FF][6C][15][D7][3B]
232614171 : Rx fail
232614421 : Rx fail
232614671 : Rx: [80][FF][FF][FF][7D][19][D8][3B]
232614906 : Rx: [00][FF][FF][FF][7D][19][D8][3B]
232615156 : Rx: [00][FF][FF][FF][8E][1D][D9][3B]
232615406 : Rx fail
232615656 : Rx: [00][FF][FF][FF][8E][1D][D9][3B]
232615890 : Rx: [80][FF][FF][FF][8E][1D][D9][3B]
232616140 : Rx: [80][FF][FF][FF][8E][1D][D9][3B]
232616390 : Rx: [80][FF][FF][FF][9F][21][DA][3B]
232616640 : Rx: [80][FF][FF][FF][9F][21][DA][3B]
232616875 : Rx fail
232617125 : Rx: [00][FF][FF][FF][9F][21][DA][3B]
232617375 : Rx: [00][FF][FF][FF][B0][25][DB][3B]
232617625 : Rx: [00][FF][FF][FF][B0][25][DB][3B]
232617875 : Rx: [80][FF][FF][FF][B0][25][DB][3B]
232618109 : Rx: [80][FF][FF][FF][B0][25][DB][3B]
232618359 : Rx: [80][FF][FF][FF][C1][29][DC][3B]
232618609 : Rx: [80][FF][FF][FF][C1][29][DC][3B]
232618859 : Rx: [00][FF][FF][FF][C1][29][DC][3B]
232619093 : Rx: [00][FF][FF][FF][C1][29][DC][3B]
232619343 : Rx: [00][FF][FF][FF][D2][2D][DD][3B]
232619593 : Rx: [00][FF][FF][FF][D2][2D][DD][3B]
232619843 : Rx: [80][FF][FF][FF][D2][2D][DD][3B]
