*** New Session***
01-11-2021 16:11:52
Product Name: forerunnner 45
81802765 : Rx: [80][FF][FF][FF][D3][44][E7][35]
81803015 : Rx: [00][FF][FF][FF][D3][44][E7][36]
81803265 : Rx: [00][FF][FF][FF][D3][44][E7][36]
81803515 : Rx: [00][FF][FF][FF][44][49][E8][36]
81803750 : Rx: [00][FF][FF][FF][44][49][E8][36]
81804000 : Rx: [80][FF][FF][FF][44][49][E8][36]
81804250 : Rx: [80][FF][FF][FF][44][49][E8][38]
81804500 : Rx: [80][FF][FF][FF][44][49][E8][38]
81804750 : Rx: [80][FF][FF][FF][8D][4D][E9][38]
81804984 : Rx fail
81805234 : Rx fail
81805484 : Rx: [00][FF][FF][FF][8D][4D][E9][39]
81805734 : Rx: [00][FF][FF][FF][C2][51][EA][39]
81805968 : Rx: [80][FF][FF][FF][C2][51][EA][39]
81806218 : Rx: [80][FF][FF][FF][C2][51][EA][3A]
81806468 : Rx: [80][FF][FF][FF][C2][51][EA][3A]
81806718 : Rx: [80][FF][FF][FF][E5][55][EB][3A]
81806953 : Rx: [00][FF][FF][FF][E5][55][EB][3A]
81807203 : Rx: [00][FF][FF][FF][E5][55][EB][3C]
81807453 : Rx: [00][FF][FF][FF][E5][55][EB][3C]
81807703 : Rx: [00][FF][FF][FF][E5][59][EC][3C]
81807937 : Rx: [80][FF][FF][FF][E5][59][EC][3C]
81808187 : Rx: [80][FF][FF][FF][E5][59][EC][3D]
81808437 : Rx: [80][FF][FF][FF][E5][59][EC][3D]
81808687 : Rx: [80][FF][FF][FF][D4][5D][ED][3D]
81808921 : Rx: [00][FF][FF][FF][D4][5D][ED][3D]
81809171 : Rx: [00][FF][FF][FF][D4][5D][ED][3E]
81809421 : Rx: [00][FF][FF][FF][D4][5D][ED][3E]
81809671 : Rx: [00][FF][FF][FF][B2][61][EE][3E]
81809921 : Rx: [83][FF][AE][FF][B2][61][EE][3E]
81810156 : Rx: [83][FF][AE][FF][B2][61][EE][3E]
81810406 : Rx: [83][FF][AE][FF][B2][61][EE][3E]
81810656 : Rx: [83][FF][AE][FF][90][65][EF][3E]
81810906 : Rx: [00][FF][FF][FF][90][65][EF][3E]
81811140 : Rx: [00][FF][FF][FF][90][65][EF][3E]
81811390 : Rx: [00][FF][FF][FF][90][65][EF][3E]
81811640 : Rx: [00][FF][FF][FF][6E][69][F0][3E]
81811890 : Rx: [80][FF][FF][FF][6E][69][F0][3E]
81812125 : Rx fail
81812375 : Rx: [80][FF][FF][FF][6E][69][F0][3E]
81812625 : Rx: [80][FF][FF][FF][4C][6D][F1][3E]
81812875 : Rx fail
81813109 : Rx: [00][FF][FF][FF][4C][6D][F1][3E]
81813359 : Rx: [00][FF][FF][FF][4C][6D][F1][3E]
81813609 : Rx fail
81813859 : Rx: [80][FF][FF][FF][2A][71][F2][3E]
