*** New Session***
02-11-2021 16:09:57
Product Name: hrm_pro
168080953 : Rx: [84][00][FF][B7][87][BB][58][45]
168081203 : Rx: [04][00][FF][B7][87][BB][58][45]
168081437 : Rx: [04][00][87][BB][DA][BE][59][44]
168081687 : Rx fail
168081937 : Rx: [79][42][1A][09][DA][BE][59][44]
168082187 : Rx: [84][00][87][BB][DA][BE][59][44]
168082437 : Rx: [84][00][DA][BE][54][C2][5A][45]
168082671 : Rx: [84][00][DA][BE][54][C2][5A][45]
168082921 : Rx: [84][00][DA][BE][54][C2][5A][45]
168083171 : Rx: [04][00][54][C2][03][C6][5B][45]
168083421 : Rx: [04][00][54][C2][03][C6][5B][45]
168083656 : Rx: [04][00][54][C2][03][C6][5B][45]
168083906 : Rx: [04][00][54][C2][03][C6][5B][45]
168084156 : Rx fail
168084406 : Rx: [82][01][CE][C8][C9][C9][5C][43]
168084640 : Rx: [82][01][CE][C8][C9][C9][5C][43]
168084890 : Rx: [82][01][CE][C8][C9][C9][5C][43]
168085140 : Rx: [79][42][D0][0B][82][CD][5D][42]
168085390 : Rx: [04][00][C9][C9][82][CD][5D][42]
168085625 : Rx: [04][00][C9][C9][82][CD][5D][42]
168085875 : Rx: [04][00][C9][C9][82][CD][5D][42]
168086125 : Rx: [84][00][82][CD][EF][D0][5E][41]
168086375 : Rx: [84][00][82][CD][EF][D0][5E][41]
168086609 : Rx: [84][00][82][CD][EF][D0][5E][41]
168086859 : Rx: [84][00][EF][D0][65][D4][5F][43]
168087109 : Rx: [04][00][EF][D0][65][D4][5F][43]
168087359 : Rx: [04][00][EF][D0][65][D4][5F][43]
168087609 : Rx: [04][00][65][D4][08][D8][60][44]
168087843 : Rx: [04][00][65][D4][08][D8][60][44]
168088093 : Rx: [84][00][65][D4][08][D8][60][44]
168088343 : Rx: [84][00][65][D4][08][D8][60][44]
168088593 : Rx: [84][00][08][D8][AF][DB][61][43]
168088828 : Rx: [84][00][08][D8][AF][DB][61][43]
168089078 : Rx: [04][00][08][D8][AF][DB][61][43]
168089328 : Rx: [04][00][08][D8][AF][DB][61][43]
168089578 : Rx: [04][00][AF][DB][14][DF][62][43]
168089812 : Rx: [04][00][AF][DB][14][DF][62][43]
168090062 : Rx: [84][00][AF][DB][14][DF][62][43]
168090312 : Rx fail
168090562 : Rx: [84][00][14][DF][8A][E2][63][44]
168090796 : Rx: [84][00][14][DF][8A][E2][63][44]
168091046 : Rx: [04][00][14][DF][8A][E2][63][44]
168091296 : Rx: [04][00][8A][E2][1D][E6][64][45]
168091546 : Rx: [79][42][15][09][1D][E6][64][45]
168091781 : Rx: [04][00][8A][E2][1D][E6][64][45]
168092031 : Rx: [84][00][1D][E6][E0][E9][65][44]
168092281 : Rx: [84][00][1D][E6][E0][E9][65][44]
168092531 : Rx: [84][00][1D][E6][E0][E9][65][44]
168092781 : Rx: [84][00][1D][E6][E0][E9][65][44]
168093015 : Rx: [04][00][E0][E9][A1][ED][66][42]
168093265 : Rx fail
168093515 : Rx: [04][00][E0][E9][A1][ED][66][42]
168093765 : Rx: [04][00][E0][E9][A1][ED][66][42]
168094000 : Rx: [84][00][A1][ED][03][F1][67][41]
168094250 : Rx: [84][00][A1][ED][03][F1][67][41]
168094500 : Rx: [84][00][A1][ED][03][F1][67][41]
168094750 : Rx: [84][00][A1][ED][03][F1][67][41]
168094984 : Rx: [04][00][03][F1][49][F4][68][43]
168095234 : Rx: [04][00][03][F1][49][F4][68][43]
168095484 : Rx: [04][00][03][F1][49][F4][68][43]
168095734 : Rx: [04][00][49][F4][A4][F7][69][45]
168095968 : Rx: [84][00][49][F4][A4][F7][69][45]
168096218 : Rx: [84][00][49][F4][A4][F7][69][45]
168096468 : Rx: [84][00][A4][F7][19][FB][6A][46]
168096718 : Rx: [84][00][A4][F7][19][FB][6A][46]
168096953 : Rx: [04][00][A4][F7][19][FB][6A][46]
168097203 : Rx fail
168097453 : Rx: [04][00][19][FB][9C][FE][6B][46]
168097703 : Rx: [04][00][19][FB][9C][FE][6B][46]
168097953 : Rx: [84][00][19][FB][9C][FE][6B][46]
168098187 : Rx: [84][00][9C][FE][D2][01][6C][46]
168098437 : Rx: [84][00][9C][FE][D2][01][6C][46]
168098687 : Rx: [84][00][9C][FE][D2][01][6C][46]
168098937 : Rx: [04][00][D2][01][1E][05][6D][47]
168099171 : Rx: [04][00][D2][01][1E][05][6D][47]
168099421 : Rx: [04][00][D2][01][1E][05][6D][47]
168099671 : Rx: [04][00][D2][01][1E][05][6D][47]
168099921 : Rx: [84][00][1E][05][A8][08][6E][48]
168100156 : Rx: [84][00][1E][05][A8][08][6E][48]
168100406 : Rx: [84][00][1E][05][A8][08][6E][48]
168100656 : Rx: [84][00][A8][08][5C][0C][6F][46]
168100906 : Rx: [03][42][47][13][5C][0C][6F][46]
168101140 : Rx: [03][42][47][13][5C][0C][6F][46]
168101390 : Rx: [03][42][47][13][5C][0C][6F][46]
168101640 : Rx: [03][42][47][13][22][10][70][43]
168101890 : Rx: [84][00][5C][0C][22][10][70][43]
168102125 : Rx: [84][00][5C][0C][22][10][70][43]
168102375 : Rx: [84][00][5C][0C][22][10][70][43]
168102625 : Rx: [84][00][22][10][BD][13][71][42]
168102875 : Rx: [04][00][22][10][BD][13][71][42]
168103109 : Rx: [04][00][22][10][BD][13][71][42]
168103359 : Rx: [04][00][22][10][BD][13][71][42]
168103609 : Rx: [04][00][BD][13][15][17][72][42]
168103859 : Rx: [84][00][BD][13][15][17][72][42]
168104109 : Rx: [84][00][BD][13][15][17][72][42]
168104343 : Rx: [F9][52][01][03][76][1A][73][45]
168104593 : Rx: [84][00][15][17][76][1A][73][45]
168104843 : Rx: [04][00][15][17][76][1A][73][45]
168105093 : Rx fail
168105328 : Rx: [04][00][76][1A][F0][1D][74][46]
168105578 : Rx: [04][00][76][1A][F0][1D][74][46]
168105828 : Rx: [84][00][76][1A][F0][1D][74][46]
168106078 : Rx: [84][00][F0][1D][93][21][75][45]
168106312 : Rx: [84][00][F0][1D][93][21][75][45]
168106562 : Rx: [84][00][F0][1D][93][21][75][45]
168106812 : Rx: [04][00][F0][1D][93][21][75][45]
168107062 : Rx: [04][00][93][21][35][25][76][44]
168107296 : Rx: [04][00][93][21][35][25][76][44]
168107546 : Rx: [79][42][2E][09][35][25][76][44]
168107796 : Rx: [84][00][35][25][96][28][77][43]
168108046 : Rx: [84][00][35][25][96][28][77][43]
168108296 : Rx: [84][00][35][25][96][28][77][43]
168108531 : Rx: [84][00][35][25][96][28][77][43]
168108781 : Rx: [04][00][96][28][13][2C][78][44]
168109031 : Rx: [04][00][96][28][13][2C][78][44]
168109281 : Rx: [04][00][96][28][13][2C][78][44]
168109515 : Rx: [04][00][96][28][13][2C][78][44]
168109765 : Rx fail
168110015 : Rx: [84][00][13][2C][9B][2F][79][44]
168110265 : Rx: [84][00][13][2C][9B][2F][79][44]
168110500 : Rx: [84][00][9B][2F][25][33][7A][44]
168110750 : Rx: [79][42][A4][08][25][33][7A][44]
168111000 : Rx: [04][00][9B][2F][25][33][7A][44]
168111250 : Rx: [04][00][9B][2F][25][33][7A][44]
168111484 : Rx: [04][00][25][33][84][36][7B][44]
168111734 : Rx: [84][00][25][33][84][36][7B][44]
168111984 : Rx: [84][00][25][33][84][36][7B][44]
168112234 : Rx: [84][00][84][36][E3][39][7C][46]
168112468 : Rx: [84][00][84][36][E3][39][7C][46]
168112718 : Rx: [04][00][84][36][E3][39][7C][46]
168112968 : Rx: [04][00][E3][39][5B][3D][7D][46]
168113218 : Rx: [04][00][E3][39][5B][3D][7D][46]
168113453 : Rx: [04][00][E3][39][5B][3D][7D][46]
168113703 : Rx: [84][00][E3][39][5B][3D][7D][46]
