*** New Session***
02-11-2021 09:04:21
Product Name: Forerunner
142555750 : Rx: [82][01][94][C8][06][8D][AA][5C]
142556000 : Rx: [82][01][94][C8][9A][8F][AB][5D]
142556250 : Rx: [82][01][94][C8][9A][8F][AB][5D]
142556500 : Rx: [82][01][94][C8][9A][8F][AB][5D]
142556734 : Rx: [00][FF][FF][FF][2E][92][AC][5D]
142556984 : Rx: [00][FF][FF][FF][2E][92][AC][5D]
142557234 : Rx: [00][FF][FF][FF][2E][92][AC][5D]
142557484 : Rx: [00][FF][FF][FF][C2][94][AD][5D]
142557734 : Rx: [80][FF][FF][FF][C2][94][AD][5D]
142557968 : Rx: [80][FF][FF][FF][56][97][AE][5D]
142558218 : Rx: [80][FF][FF][FF][56][97][AE][5F]
142558468 : Rx: [80][FF][FF][FF][56][97][AE][5F]
142558718 : Rx: [00][FF][FF][FF][DC][99][AF][5F]
142558953 : Rx: [00][FF][FF][FF][DC][99][AF][5F]
142559203 : Rx: [00][FF][FF][FF][5C][9C][B0][60]
142559453 : Rx: [00][FF][FF][FF][5C][9C][B0][60]
142559703 : Rx: [80][FF][FF][FF][5C][9C][B0][60]
142559937 : Rx fail
142560187 : Rx: [80][FF][FF][FF][DC][9E][B1][60]
142560437 : Rx: [80][FF][FF][FF][5C][A1][B2][60]
142560687 : Rx: [00][FF][FF][FF][5C][A1][B2][60]
142560921 : Rx: [00][FF][FF][FF][5C][A1][B2][60]
142561171 : Rx: [00][FF][FF][FF][DC][A3][B3][60]
142561421 : Rx: [00][FF][FF][FF][DC][A3][B3][60]
142561671 : Rx: [80][FF][FF][FF][5C][A6][B4][60]
142561921 : Rx: [80][FF][FF][FF][5C][A6][B4][60]
142562156 : Rx: [80][FF][FF][FF][5C][A6][B4][60]
142562406 : Rx: [80][FF][FF][FF][DC][A8][B5][60]
142562656 : Rx: [00][FF][FF][FF][DC][A8][B5][60]
142562906 : Rx: [00][FF][FF][FF][5C][AB][B6][60]
142563140 : Rx: [00][FF][FF][FF][5C][AB][B6][61]
142563390 : Rx: [00][FF][FF][FF][5C][AB][B6][61]
142563640 : Rx: [80][FF][FF][FF][D5][AD][B7][61]
142563890 : Rx: [80][FF][FF][FF][D5][AD][B7][61]
142564125 : Rx: [80][FF][FF][FF][4E][B0][B8][61]
142564375 : Rx fail
142564625 : Rx: [00][FF][FF][FF][4E][B0][B8][61]
142564875 : Rx: [00][FF][FF][FF][C7][B2][B9][61]
142565109 : Rx: [00][FF][FF][FF][C7][B2][B9][62]
142565359 : Rx: [00][FF][FF][FF][39][B5][BA][62]
142565609 : Rx: [80][FF][FF][FF][39][B5][BA][62]
142565859 : Rx: [80][FF][FF][FF][39][B5][BA][62]
142566093 : Rx: [80][FF][FF][FF][AB][B7][BB][62]
142566343 : Rx fail
142566593 : Rx fail
